iter	Passed	Remaining
402	9993	14803
403	10012	14770
404	10032	14739
405	10052	14706
406	10072	14675
407	10095	14648
408	10115	14616
409	10134	14584
410	10157	14556
411	10181	14530
412	10200	14498
413	10221	14468
414	10242	14438
415	10263	14408
416	10282	14375
417	10300	14342
418	10320	14310
419	10341	14281
420	10361	14250
421	10381	14219
422	10406	14195
423	10429	14167
424	10449	14137
425	10469	14106
426	10488	14075
427	10508	14044
428	10529	14015
429	10550	13985
430	10570	13954
431	10589	13923
432	10610	13894
433	10631	13864
434	10650	13833
435	10670	13803
436	10694	13778
437	10715	13749
438	10735	13719
439	10758	13692
440	10779	13663
441	10799	13633
442	10818	13602
443	10840	13574
444	10863	13549
445	10885	13521
446	10908	13494
447	10928	13464
448	10952	13440
449	10973	13411
450	10992	13381
451	11012	13351
452	11032	13321
453	11053	13293
454	11076	13267
455	11097	13238
456	11117	13209
457	11135	13178
458	11155	13148
459	11175	13119
460	11195	13089
461	11214	13058
462	11231	13026
463	11251	12996
464	11270	12967
465	11294	12943
466	11315	12914
467	11335	12885
468	11354	12855
469	11376	12828
470	11396	12799
471	11420	12775
472	11443	12749
473	11465	12723
474	11485	12694
475	11507	12667
476	11528	12640
477	11551	12615
478	11572	12587
479	11593	12560
480	11617	12534
481	11638	12508
482	11659	12480
483	11680	12452
484	11701	12425
485	11721	12396
486	11746	12373
487	11767	12346
488	11787	12317
489	11807	12289
490	11827	12261
491	11846	12232
492	11866	12203
493	11885	12174
494	11906	12147
495	11928	12121
496	11949	12093
497	11971	12067
498	11991	12039
499	12011	12011
500	12030	11982
501	12051	11955
502	12072	11928
503	12093	11901
504	12111	11871
505	12130	11842
506	12149	11813
507	12170	11786
508	12190	11759
509	12210	11731
510	12227	11701
511	12249	11675
512	12274	11652
513	12290	11621
514	12308	11591
515	12330	11565
516	12350	11538
517	12372	11512
518	12392	11484
519	12409	11454
520	12430	11428
521	12450	11401
522	12471	11374
523	12489	11345
524	12510	11319
525	12535	11295
526	12558	11271
527	12578	11244
528	12599	11217
529	12623	11194
530	12644	11168
531	12664	11141
532	12684	11113
533	12700	11083
534	12719	11055
535	12740	11029
536	12759	11001
537	12777	10972
538	12798	10946
539	12817	10918
540	12837	10891
541	12858	10865
542	12875	10836
543	12895	10809
544	12914	10782
545	12936	10756
546	12954	10728
547	12975	10702
548	12996	10676
549	13019	10652
550	13038	10625
551	13056	10596
552	13074	10568
553	13094	10541
554	13116	10516
555	13138	10491
556	13160	10466
557	13178	10438
558	13198	10412
559	13218	10385
560	13239	10360
561	13259	10334
562	13283	10310
563	13306	10286
564	13329	10262
565	13354	10240
566	13377	10215
567	13398	10190
568	13417	10163
569	13438	10137
570	13458	10111
571	13478	10085
572	13496	10057
573	13518	10032
574	13537	10006
575	13558	9980
576	13580	9956
577	13600	9929
578	13620	9903
579	13645	9880
580	13664	9854
581	13684	9828
582	13706	9804
583	13733	9782
584	13752	9756
585	13776	9732
586	13797	9707
587	13817	9681
588	13839	9656
589	13861	9632
590	13882	9607
591	13905	9583
592	13927	9558
593	13949	9534
594	13968	9508
595	13987	9481
596	14008	9456
597	14035	9434
598	14054	9408
599	14073	9382
600	14095	9358
601	14115	9332
602	14138	9308
603	14161	9284
604	14183	9259
605	14201	9233
606	14229	9213
607	14251	9188
608	14272	9163
609	14293	9138
610	14312	9112
611	14332	9086
612	14353	9061
613	14374	9036
614	14393	9010
615	14414	8985
616	14435	8961
617	14457	8936
618	14478	8911
619	14499	8887
620	14517	8860
621	14540	8836
622	14560	8811
623	14580	8785
624	14599	8759
625	14621	8735
626	14642	8711
627	14664	8686
628	14686	8662
629	14705	8636
630	14723	8610
631	14744	8585
632	14765	8560
633	14786	8536
634	14804	8509
635	14823	8484
636	14844	8459
637	14863	8433
638	14882	8407
639	14904	8383
640	14927	8360
641	14952	8337
642	14976	8315
643	14997	8290
644	15018	8265
645	15036	8239
646	15055	8214
647	15077	8190
648	15097	8165
649	15120	8141
650	15143	8118
651	15165	8094
652	15186	8069
653	15207	8045
654	15231	8022
655	15250	7997
656	15271	7972
657	15292	7948
658	15311	7922
659	15330	7897
660	15350	7872
661	15369	7847
662	15391	7823
663	15413	7799
664	15436	7776
665	15455	7751
666	15473	7725
667	15494	7701
668	15513	7675
669	15534	7651
670	15556	7627
671	15575	7602
672	15597	7578
673	15619	7554
674	15639	7530
675	15662	7506
676	15682	7482
677	15703	7457
678	15724	7434
679	15746	7409
680	15770	7387
681	15791	7363
682	15811	7338
683	15831	7313
684	15850	7289
685	15870	7264
686	15889	7239
687	15909	7214
688	15930	7190
689	15949	7165
690	15969	7141
691	15988	7116
692	16011	7093
693	16032	7069
694	16049	7043
695	16067	7018
696	16086	6993
697	16107	6969
698	16129	6945
699	16148	6920
700	16169	6896
701	16188	6872
702	16209	6848
703	16228	6823
704	16247	6798
705	16267	6774
706	16289	6750
707	16309	6726
708	16334	6704
709	16351	6678
710	16371	6654
711	16392	6630
712	16413	6606
713	16433	6582
714	16456	6559
715	16476	6535
716	16506	6515
717	16529	6491
718	16552	6469
719	16571	6444
720	16588	6419
721	16610	6395
722	16631	6371
723	16649	6347
724	16667	6322
725	16688	6298
726	16709	6274
727	16731	6251
728	16750	6226
